RB,RS,age,knowledge,edu,risk,household,lnincome,city level,income
1,500,40,3.75,7,0,1,8.517193191,2,5000
1,1100000,54,2.25,6,1,1,8.517193191,2,5000
1,200,46,4.5,6,0,1,8.699514748,2,6000
1,2500,47,4.25,7,0,0,8.517193191,2,5000
1,1000,47,2.75,7,1,1,8.517193191,2,5000
1,50000,58,3.5,8,0,1,8.517193191,2,5000
1,3000,25,3.25,5,0,0,8.517193191,2,5000
1,5000,46,4,7,0,1,8.517193191,2,5000
1,500,51,3.5,5,1,1,8.517193191,2,5000
1,547,44,4,3,0,0,8.699514748,2,6000
1,42,56,4,4,0,0,8.517193191,3,5000
1,137,33,3.5,6,0,0,8.517193191,2,5000
1,2000,24,3,5,0,1,8.517193191,2,5000
1,156,25,3.25,6,1,0,8.517193191,2,5000
1,181,31,4.5,3,0,1,8.517193191,2,5000
1,156,42,3.75,4,0,0,8.006367568,2,3000
1,528,31,4.5,4,0,0,8.517193191,2,5000
1,250,27,4.5,5,0,0,8.517193191,2,5000
1,1000,49,4.5,2,0,1,8.517193191,2,5000
1,500,41,4.5,3,0,1,8.779557456,2,6500
1,25,46,4.25,2,0,1,8.517193191,2,5000
1,300,28,4.5,3,0,0,8.006367568,2,3000
1,330,39,3.5,7,0,0,8.006367568,2,3000
1,100,49,3,3,0,0,8.517193191,2,5000
1,400,48,3,3,0,0,8.517193191,2,5000
1,200,33,3.25,3,0,0,8.29404964,2,4000
1,300,39,3.5,4,1,1,8.517193191,2,5000
1,10000,33,3,4,0,0,8.006367568,2,3000
1,32,31,3,4,0,0,8.006367568,2,3000
1,0,69,4.5,2,0,0,8.517193191,2,5000
1,3000,66,3,2,0,0,8.006367568,2,3000
1,1500,20,3.25,5,0,0,8.517193191,3,5000
1,300,27,3.25,4,1,0,8.517193191,2,5000
1,5000,74,3.25,2,0,0,8.517193191,2,5000
1,200,34,3.25,3,0,0,8.699514748,2,6000
1,200,52,3.25,2,0,0,8.517193191,2,5000
1,3500,40,4.5,4,0,1,8.517193191,1,5000
1,200,30,4,7,0,1,8.517193191,1,5000
1,40,41,4.25,3,0,0,8.517193191,3,5000
1,64814,27,4.5,3,0,0,8.517193191,1,5000
1,20000,53,3.75,5,0,0,8.517193191,1,5000
1,7,17,4.25,6,0,0,8.517193191,1,5000
1,70,45,4.5,4,0,1,8.517193191,1,5000
1,106,26,4.5,3,0,0,8.517193191,1,5000
1,580,39,4.5,4,0,1,8.517193191,1,5000
1,88,69,4.25,3,0,1,8.517193191,1,5000
1,1000,32,4.5,6,0,1,8.517193191,1,5000
1,1,43,4.5,4,0,1,8.517193191,1,5000
1,6,23,4.5,3,0,1,8.517193191,1,5000
1,79,43,3.75,4,0,0,8.517193191,1,5000
1,70,35,4.5,3,0,1,8.160518247,1,3500
1,2000,43,3,7,1,0,8.517193191,1,5000
1,500,35,4.5,5,0,0,8.517193191,1,5000
1,2,25,4.5,4,0,0,8.764053269,1,6400
1,7512,29,3.75,5,0,0,8.517193191,1,5000
1,1600,33,4.5,7,0,1,8.517193191,1,5000
1,600,38,1.75,4,1,0,8.517193191,1,5000
1,596,46,3.25,7,1,0,8.517193191,1,5000
